novel_id	tag	gender	fullname
227	2	0	子产
227	2	0	州绰
227	1	1	斐豹
334	1	2	妲己
453	2	0	威廉
453	2	0	安妮
470	1	2	小猫
528	1	2	西施
1537	2	0	阿兰
1537	2	0	阿兰
1661	2	0	小鱼
1908	1	1	嫦娥
2265	2	0	拉斐尔
2404	2	0	领威·德克夏
2583	2	0	小福
2829	1	1	顺治
2884	2	0	乔舒亚
2884	1	2	天子
2887	1	1	莱恩
2887	2	0	费利克斯
3140	1	1	阿谅
3201	2	0	艾维
3202	1	2	安德鲁
3203	1	2	凯伊·瑞格
3203	1	1	艾琳
3204	2	0	尼尔
3678	2	0	小荷
4120	2	0	大胡子
4128	1	1	佐藤
4509	2	0	小微
4509	1	1	阿俐
5063	2	0	皇太极
5063	2	0	顺治
5408	2	0	大王
5408	2	0	大王
5408	2	0	阿良
5408	2	0	阿良
5418	2	0	阿蒙图
5420	1	1	利夫
5433	2	0	大王
5433	2	0	大王
5433	1	1	小官子
5452	1	2	凯斯
5452	2	0	杰克
5453	2	0	大王
5453	2	0	大王
5455	2	0	大王
5455	2	0	大王
5545	1	2	夏帆
5668	2	0	小瑞
5984	1	1	碧玉
6265	2	0	老蠹
6694	2	0	丹尼斯
6694	2	0	帕梅拉
6694	1	1	维拉
6695	2	0	丹尼斯
6695	2	0	彼得
6695	2	0	查理
6696	2	0	丹尼斯
6697	2	0	托马斯
7448	1	1	小夏
7673	1	2	阿莫
7745	1	1	小庭
8023	2	0	阿星
9304	2	0	凯西
9453	2	0	雷克斯
9646	1	2	离朱
10717	2	0	阿欢
10987	1	1	小勇
11320	2	0	雷亚
11320	2	0	雷克斯
11639	2	0	小薇
11646	2	0	琅玕
11814	1	1	杰克
11925	2	0	阿愁
12437	2	0	巴顿
12712	2	0	兰迪
12773	1	1	胤禛
12773	1	1	胤禛
12773	2	0	胤褆
12773	2	0	胤褆
12882	2	0	伊恩
12886	2	0	雷克斯
13157	1	2	小秋
13157	1	1	雷诺
13415	2	0	大耶氏
13415	2	0	小耶氏
13480	1	2	大学
13508	2	0	小虾
13530	1	2	小韵
13561	2	0	拉娜
13561	2	0	雷克斯
13640	2	0	老猫
13805	1	2	褒姒
13873	1	2	阿诺
13907	1	2	昭君
14368	2	0	兰迪
14559	1	1	小球
14559	1	2	小鱼
14989	2	0	牙牙
15429	2	0	阿荣
15429	2	0	阿荣
15783	2	0	小巳
15793	1	1	小晶
15793	2	0	小角
16065	2	0	美雪
16096	1	1	嬴政
16140	2	0	小丹
16140	2	0	小红
16140	2	0	小红
16140	2	0	小蔚
16140	1	2	阿奔
16183	1	2	弄玉
16252	2	0	大胡子
16480	1	1	阿花
16600	2	0	小芝
17007	2	0	若兰
17280	2	0	小多
17310	1	1	小晶
17310	2	0	小角
17362	2	0	如意
17362	2	0	小楼
17821	1	2	小弱
17836	1	2	嫦娥
18617	1	1	小项
18825	2	0	诺拉
19087	2	0	昭华
19148	2	0	大黄
19148	2	0	小黄
19419	2	0	大海
19501	1	1	小米
19502	2	0	小光
19511	2	0	小琳
19624	2	0	迪恩
19640	2	0	小乔
19640	2	0	小乔
20149	2	0	忽必烈
20149	1	1	旭烈兀
20173	1	1	小雪球
20317	1	2	阿伦
20746	2	0	小瑞
20959	1	1	子林
21029	2	0	小蔷薇
21099	2	0	妲己
21278	1	2	嫦娥
21356	1	1	大叔
21356	1	1	小远
21468	1	2	亚历山大
21468	2	0	娜莎莉
21636	3	1	阿房
21894	2	0	阿芒
21937	2	0	雪莉
22030	1	2	芙蓉
22252	2	0	罗杰
22284	1	1	小姐
22467	2	0	大楚
22467	1	2	小楚
22586	2	0	南极星
22929	1	1	小猫
23025	2	0	阿曼
23025	2	0	阿曼
23455	1	1	小和尚
23474	1	1	英俊
23601	2	0	亚历山大
23601	1	1	布鲁斯
23602	1	1	布鲁斯
23786	2	0	冰玉
23823	2	0	里克
23843	1	1	彼得
23862	1	1	汀朵·埃斯特尔
23918	2	0	小弓
23971	2	0	威廉
24260	2	0	老乞丐
24537	2	0	大神
24604	1	1	小菁
24604	1	2	小辛
24604	1	2	小辛
24756	2	0	阿君
24767	2	0	阿俊
24923	2	0	阿川
25006	1	1	不二周助
25006	1	1	手冢国光
25008	1	1	橘庆太
25125	2	0	小季
25125	1	2	真夜
25228	1	1	晚霞
25231	1	1	小恒
25234	2	0	小可
25289	2	0	小雪
25344	2	0	阿凯
25502	2	0	乔伊
25502	2	0	小野
25502	2	0	小野
25513	1	2	卡尔·阿格尼斯
25513	2	0	艾薇儿·唐
25629	2	0	阿伟
25629	2	0	阿明
25629	2	0	阿明
25629	1	1	阿泰
25827	2	0	亚瑟
25992	1	2	小蝶
25992	1	1	小风
26463	2	0	小一
26766	1	2	小裴
26820	1	1	妹喜
27117	1	1	罗伊·罗兰
27184	2	0	小羽
27291	2	0	大兴
27952	2	0	小平
27952	2	0	小平
28385	1	1	小小
28385	1	1	小小
28385	2	0	小黑
28464	1	1	保罗
28464	2	0	威廉
28464	2	0	杰克
28464	1	1	杰西
28690	1	1	小华
28709	1	2	艾丽莎
